"PART NUMBER","COMPONENT DENSITY","SPEED","MT/S","I/O VOLTAGE","OPERATING TEMP","BUS WIDTH","CAS LATENCY","PIN COUNT","PART STATUS CODE","COMPONENT CONFIG","DRY PACK QTY","PACKAGE DIMENSION (W X L X H) MM","TAPE & REEL QTY","NUMBER OF COMPONENTS","PART TYPE","TECHNOLOGY","PACKAGE","FAMILY"
"MT62F1BAD8DV-DC Y6CP","","","","","","","","","","","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","","","DRAM"
"MT62F1G32D2DS-020 AUT:F","32Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","Contact Sales","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8CZ-020AAT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","561-ball","End of Life","1.5Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M64D4BG-031 WT:B","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","496-ball","Obsolete","512Mb x64","1190","14.00 x 12.40 x 0.67","2500","4","COMPONENT","LPDDR5","WFBGA","DRAM"
"MT62F2G64D8CL-026 WT:B","128Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","496-ball","End of Life","2Gb x64","1190","14.00 x 12.40 x 0.69","2500","8","COMPONENT","LPDDR5","WFBGA","DRAM"
"MT62F768M64D4EK-020FAAT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","End of Life","768Mb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M32D4DS-020FAAT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","End of Life","1.5Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4CZ-020AIT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","561-ball","End of Life","768Mb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4CZ-026 WT:C","48Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","561-ball","Obsolete","768Mb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G32D4DS-020FAAT:F","","","","0.5 VOLTS","","","","","","","1050","","2000","","","","",""
"MT62F1536M64D8EK-020AAT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","End of Life","1.5Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8CZ-020AUT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","561-ball","Sampling","2Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1DD8CZ-DC Y5BN","","","","","","","","","","","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","","","DRAM"
"MT62F4G32D8DV-020AUT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","Contact Sales","4Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F1DAD4CZ-DC Y62P","","","","","","","","","","","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","","","DRAM"
"MT62F2G64D8EK-020FAUT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","441-ball","End of Life","2Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M32D2DS-031 AUT:B","16Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","End of Life","512Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8CZ-020FAIT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","561-ball","End of Life","1.5Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M64D2CZ-020AUT:E","32Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","561-ball","Production","512Mb x64","1020","8.00 x 12.40 x 1.20","2500","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M32D2DR-031 IT:B","16Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +95C","x32","CL = 36","315-ball","Obsolete","512Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M64D4EK-031 AIT:B","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","End of Life","512Mb x64","1190","14.00 x 14.00 x 1.10","1500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
